room_number : 210 , route : no_0_1_1_1_1
room_number : 420 , route : no_0_1_1_1_2
room_number : 630 , route : no_0_1_1_2_1
room_number : 840 , route : no_0_1_1_1_3
room_number : 1050 , route : no_0_1_2_1_1
room_number : 1260 , route : no_0_1_1_2_2
room_number : 1680 , route : no_0_1_1_1_4
room_number : 1890 , route : no_0_1_1_3_1
room_number : 2100 , route : no_0_1_2_1_2
room_number : 3150 , route : no_0_1_2_2_1
room_number : 3780 , route : no_0_1_1_3_2
room_number : 4200 , route : no_0_1_2_1_3
room_number : 5040 , route : no_0_1_1_2_4
room_number : 6300 , route : no_0_1_2_2_2
room_number : 7560 , route : no_0_1_1_3_3
room_number : 8400 , route : no_0_1_2_1_4
room_number : 9450 , route : no_0_1_2_3_1
room_number : 12600 , route : no_0_1_2_2_3
room_number : 15120 , route : no_0_1_1_3_4
room_number : 18900 , route : no_0_1_2_3_2
room_number : 25200 , route : no_0_1_2_2_4
room_number : 37800 , route : no_0_1_2_3_3
room_number : 75600 , route : no_0_1_2_3_4
